Lane,CPT,TP-90,CPT,Time,Schedule,SLAM,,,TP-50,Time,Schedule,SLAM,,,Average,Time,Schedule,SLAM
BOS7->BOS5,5:00,BOS7->BOS5,5:00,0:00,17368.76864,12615.52586,,,BOS7->BOS5,0:00,15587.1961,10668.3844,,,BOS7->BOS5,0:00,15389.27436,10927.71708
TEB3->EWR8,4:30,BOS7->BOS5,5:00,1:00,17387.64554,14042.3911,,,BOS7->BOS5,1:00,15663.43,11995.7749,,,BOS7->BOS5,1:00,15431.38274,12262.69385
OAK3->OAK5,14:00,BOS7->BOS5,5:00,2:00,17410.37406,15624.48096,,,BOS7->BOS5,2:00,15697.5169,13682.2648,,,BOS7->BOS5,2:00,15475.85123,13717.46362
RIC1->ACY5,3:00,BOS7->BOS5,5:00,3:00,17430.47242,16519.57198,,,BOS7->BOS5,3:00,15695.1223,14932.8643,,,BOS7->BOS5,3:00,15447.94929,14718.39833
LGB4->ONT5,0:00,BOS7->BOS5,5:00,4:00,17448.8588,17367.96864,,,BOS7->BOS5,4:00,15777.7496,15670.7298,,,BOS7->BOS5,4:00,15495.48623,15385.4307
TPA1->MIA5,18:00,BOS7->BOS5,5:00,5:00,17448.17322,17367.96864,,,BOS7->BOS5,5:00,15777.3223,15670.7298,,,BOS7->BOS5,5:00,15493.39786,15385.4307
BWI2->EWR8,2:00,BOS7->BOS5,5:00,6:00,3230.796884,61.262588,,,BOS7->BOS5,6:00,1639.64736,27.889542,,,BOS7->BOS5,6:00,1940.846204,32.0740959
LGA9->EWR5,10:00,BOS7->BOS5,5:00,7:00,3666.040014,128.766782,,,BOS7->BOS5,7:00,2143.40323,65.06236,,,BOS7->BOS5,7:00,2422.252338,76.76444331
EWR9->EWR8,14:00,BOS7->BOS5,5:00,8:00,4360.517576,556.3275644,,,BOS7->BOS5,8:00,2839.0823,286.095943,,,BOS7->BOS5,8:00,3159.768652,323.5364902
DFW7->CVG9,2:00,BOS7->BOS5,5:00,9:00,5468.987794,1118.809218,,,BOS7->BOS5,9:00,3731.84432,493.297895,,,BOS7->BOS5,9:00,4005.79632,598.2800742
EWR4->EWR8,20:00,BOS7->BOS5,5:00,10:00,6581.36933,1389.782522,,,BOS7->BOS5,10:00,4810.26653,706.50558,,,BOS7->BOS5,10:00,4924.546425,805.0937546
JAX2->ATL6,3:30,BOS7->BOS5,5:00,11:00,7448.717344,1829.047374,,,BOS7->BOS5,11:00,5488.78209,1049.75828,,,BOS7->BOS5,11:00,5870.390962,1169.226462
